ID#,APN,Street Address,Auction Type,City,Postal Code,Tax Rate Area,Land Value,Improvements,Total Assessed Value,Assessed Value Year,Property Description,Timeshare Association,Your Max Bid,Opening Bid,Best Bid,Status,Close(PDT),Canceled
0105,1982521900,FRYING PAN RD BORREGO SPRINGS CA 92004,Improved Property,BORREGO SPRINGS,92004,58019," $ 13,000.00 ", $ 500.00 ," $ 13,500.00 ",2025,LOT 91,,   - ," $ 7,000.00 ",   - , - ,03/16/2026 08:00:00,WITHDRAWN
0109,1983521800,3439 EL TEJON RD BORREGO SPRINGS CA 92004-4266,Improved Property,BORREGO SPRINGS,92004,58019," $ 10,184.00 "," $ 113,857.00 "," $ 124,041.00 ",2025,LOT 165,,   - ," $ 63,000.00 ",   - , - ,03/16/2026 08:00:00,REDEEMED
0112,2003302000,1702 LAS CASITAS DR BORREGO SPRINGS CA 92004-5403,Improved Property,BORREGO SPRINGS,92004,58011," $ 45,172.00 "," $ 92,933.00 "," $ 138,105.00 ",2025,LOT 51,,   - ," $ 70,000.00 ",   - , - ,03/16/2026 08:00:00,REDEEMED
0118,2090412507,5751 PALMER WAY #G CARLSBAD CA 92010-7249,Improved Property,CARLSBAD,92010,09013," $ 306,461.00 "," $ 757,603.00 "," $ 1,064,064.00 ",2025,US 7 PER DOC85-018874&UND INT IN LOT 1,,   - ," $ 533,000.00 ",   - , - ,03/16/2026 08:00:00,REDEEMED
0123,2166100102,7319 ESTRELLA DE MAR #10 CARLSBAD CA 92009-6725,Improved Property,CARLSBAD,92009,09039," $ 489,000.00 "," $ 431,000.00 "," $ 920,000.00 ",2025,US   10PER DOC06-225295&UND INT IN LOT 29\,,   - ," $ 51,000.00 ",   - , - ,03/16/2026 08:00:00,WITHDRAWN
0124,2176500400,695 CASITA LN SAN MARCOS CA 92069-8319,Improved Property,SAN MARCOS,92069,13267," $ 319,622.00 "," $ 390,649.00 "," $ 710,271.00 ",2025,LOT 4,,   - ," $ 168,000.00 ",   - , - ,03/16/2026 08:00:00,WITHDRAWN
0125,2191160350,120 PACIFIC ST #K1 SAN MARCOS CA 92069-1268,Improved Property,SAN MARCOS,92069,13152," $ 250,884.00 "," $ 62,718.00 "," $ 313,602.00 ",2025,US K1PER DOC98-746760&UND INT IN LOT 3 BLK 103,,   - ," $ 157,000.00 ",   - , - ,03/16/2026 08:00:00,REDEEMED
0140,2313120502,1733 ANZA PL ESCONDIDO CA 92027-2501,Improved Property,ESCONDIDO,92027,04013," $ 108,161.00 "," $ 162,242.00 "," $ 270,403.00 ",2025,UND 1/2 INT WI EXCV USE OF SWLY POR OF LOT 5,,   - ," $ 136,000.00 ",   - , - ,03/16/2026 08:00:00,REDEEMED
0152,2641542200,2887 CRYSTAL RIDGE RD ENCINITAS CA 92024-6616,Improved Property,ENCINITAS,92024,19176," $ 590,914.00 "," $ 821,923.00 "," $ 1,412,837.00 ",2025,PAR 3,,   - ," $ 707,000.00 ",   - , - ,03/16/2026 08:00:00,REDEEMED
0205,2801250500,615 ELM ST RAMONA CA 92065-1914,Improved Property,RAMONA,92065,65010," $ 78,072.00 "," $ 103,491.00 "," $ 181,563.00 ",2025,POR BLK 380,,   - ," $ 91,000.00 ",   - , - ,03/16/2026 08:00:00,
0207,2821103500,155 KALBAUGH ST RAMONA CA 92065-3827,Improved Property,RAMONA,92065,65045," $ 85,810.00 "," $ 199,424.00 "," $ 285,234.00 ",2025,DOC135686REC53 IN NEQ SEC 20-13-1E,,   - ," $ 143,000.00 ",   - , - ,03/16/2026 08:00:00,
0208,2831112800,2111 TOCA LN RAMONA CA 92065-3628,Improved Property,RAMONA,92065,65010," $ 81,220.00 "," $ 136,540.00 "," $ 217,760.00 ",2025,DOC76-311771 IN PAR 1& PAR 3,,   - ," $ 109,000.00 ",   - , - ,03/16/2026 08:00:00,
0240,3164813700,11608 TRAILBROOK LN SAN DIEGO CA 92128-6341,Improved Property,SAN DIEGO,92128,08146," $ 401,680.00 "," $ 415,838.00 "," $ 817,518.00 ",2025,LOT 75,,   - ," $ 409,000.00 ",   - , - ,03/16/2026 08:00:00,REDEEMED
0243,3175914700,13304 TAWANKA DR POWAY CA 92064-4521,Improved Property,POWAY,92064,17031," $ 21,451.00 "," $ 75,447.00 "," $ 96,898.00 ",2025,DOC92950REC70 IN ST CLSD ADJ&IN LOT 106&ALL LOT 107,,   - ," $ 49,000.00 ",   - , - ,03/16/2026 08:15:00,REDEEMED
0244,3176407003,12609 ROBISON BLVD #103 POWAY CA 92064-4422,Improved Property,POWAY,92064,17031," $ 249,879.00 "," $ 62,461.00 "," $ 312,340.00 ",2025,US103-A PER DOC80-163776&UND INT IN LOT 1,,   - ," $ 157,000.00 ",   - , - ,03/16/2026 08:15:00,REDEEMED
0257,3473801442,4075 ROSENDA CT #278 SAN DIEGO CA 92122-1963,Improved Property,SAN DIEGO,92122,08118," $ 80,517.00 "," $ 103,417.00 "," $ 183,934.00 ",2025,US278PER DOC84-452181&UND INT IN LOT 9,,   - ," $ 92,000.00 ",   - , - ,03/16/2026 08:15:00,
0258,3487600159,7959 CAMINITO DIA #02 SAN DIEGO CA 92122-1607,Improved Property,SAN DIEGO,92122,08118," $ 295,528.00 "," $ 164,181.00 "," $ 459,709.00 ",2025,US 59PER DOCS78-37831&78-314304&UND INT IN LOT 12,,   - ," $ 230,000.00 ",   - , - ,03/16/2026 08:15:00,
0259,3487701142,3995 CAMINO LINDO SAN DIEGO CA 92122-2016,Improved Property,SAN DIEGO,92122,08118," $ 529,869.00 "," $ 167,325.00 "," $ 697,194.00 ",2025,US186PER DOC77-330069&UND INT IN PAR 3,,   - ," $ 349,000.00 ",   - , - ,03/16/2026 08:15:00,REDEEMED
0260,3488132313,6125 CAMINITO BAEZA SAN DIEGO CA 92122-3437,Improved Property,SAN DIEGO,92122,08118," $ 114,066.00 "," $ 141,442.00 "," $ 255,508.00 ",2025,US 13PER DOC86-313518&UND INT IN PAR 1 PM04872&IN LOT 4,,   - ," $ 128,000.00 ",   - , - ,03/16/2026 08:15:00,REDEEMED
0262,3587322308,1624 CAMINITO SOLIDAGO LA JOLLA CA 92037-7158,Improved Property,LA JOLLA,92037,08001," $ 923,565.00 "," $ 270,907.00 "," $ 1,194,472.00 ",2025,US216PER DOC87-124846&UND INT IN LOTS 3&13&IN LOT 16,,   - ," $ 598,000.00 ",   - , - ,03/16/2026 08:15:00,WITHDRAWN
0263,3601501200,4850 JENNIFER CT SAN DIEGO CA 92117-1809,Improved Property,SAN DIEGO,92117,08118," $ 22,609.00 "," $ 37,396.00 "," $ 60,005.00 ",2025,LOT 783,,   - ," $ 31,000.00 ",   - , - ,03/16/2026 08:15:00,
0265,3783716600,10225 ALPHONSE ST SANTEE CA 92071-1281,Improved Property,SANTEE,92071,16033," $ 191,305.00 "," $ 191,305.00 "," $ 382,610.00 ",2025,LOT 51,,   - ," $ 192,000.00 ",   - , - ,03/16/2026 08:15:00,
0272,3961204000,16045 VIEWSIDE LN EL CAJON CA 92021-2654,Improved Property,EL CAJON,92021,59048," $ 69,373.00 "," $ 134,473.00 "," $ 203,846.00 ",2025,PAR B PER DOC00-399938 IN LOT 51DB170PG71&IN LOT 2 SEC 24-15-1E,,   - ," $ 102,000.00 ",   - , - ,03/16/2026 08:15:00,REDEEMED
0289,4120700600,8258 MORRIS RANCH LN MOUNT LAGUNA CA 91948,Improved Property,MOUNT LAGUNA,91948,91056," $ 26,996.00 "," $ 41,066.00 "," $ 68,062.00 ",2025,(EX SLY 16.00 AC)E H OF SEQ OF SEQ SEC 26-15-5E,,   - ," $ 35,000.00 ",   - , - ,03/16/2026 08:15:00,REDEEMED
0291,4160102700,5380 ALTA BAHIA CT SAN DIEGO CA 92109-1919,Improved Property,SAN DIEGO,92109,08001," $ 82,685.00 "," $ 85,915.00 "," $ 168,600.00 ",2025,LOT 78,,   - ," $ 85,000.00 ",   - , - ,03/16/2026 08:15:00,
0293,4193361200,3558 MT ABBEY AVE SAN DIEGO CA 92111-4529,Improved Property,SAN DIEGO,92111,08001," $ 73,993.00 "," $ 130,600.00 "," $ 204,593.00 ",2025,LOT 220,,   - ," $ 103,000.00 ",   - , - ,03/16/2026 08:15:00,
0294,4235730400,815 TANGIERS CT SAN DIEGO CA 92109-7031,Improved Property,SAN DIEGO,92109,08001," $ 853,779.00 "," $ 300,786.00 "," $ 1,154,565.00 ",2025,LOT D BLK 211,,   - ," $ 578,000.00 ",   - , - ,03/16/2026 08:15:00,REDEEMED
0296,4303330401,4208 NAPIER ST SAN DIEGO CA 92110-3443,Improved Property,SAN DIEGO,92110,08001," $ 459,000.00 "," $ 255,000.00 "," $ 714,000.00 ",2025,US 1 PER DOC82-319284&UND INT IN LOT 193,,   - ," $ 357,000.00 ",   - , - ,03/16/2026 08:15:00,REDEEMED
0297,4361930800,4966 NAPLES PL SAN DIEGO CA 92110-3816,Improved Property,SAN DIEGO,92110,08256," $ 1,312,373.00 "," $ 929,598.00 "," $ 2,241,971.00 ",2025,/EXC ST OPS/ LOT 21,,   - ," $ 1,121,000.00 ",   - , - ,03/16/2026 08:15:00,
0300,4416600149,4249 LOMA RIVIERA LN SAN DIEGO CA 92110-5517,Improved Property,SAN DIEGO,92110,08001," $ 374,523.00 "," $ 336,057.00 "," $ 710,580.00 ",2025,US 69 PER DOC200992REC64 & UND 1/115 INT IN LOTS 1 THRU LOT 3,,   - ," $ 252,000.00 ",   - , - ,03/16/2026 08:15:00,REDEEMED
0311,4640203552,5700 BALTIMORE DR #220 LA MESA CA 91942-1643,Improved Property,LA MESA,91942,05003," $ 71,618.00 "," $ 144,608.00 "," $ 216,226.00 ",2025,US220PER DOC78-233658&UND FRACTL INT IN LOT 1,,   - ," $ 109,000.00 ",   - , - ,03/16/2026 08:15:00,
0312,4653230400,4343 N TALMADGE DR SAN DIEGO CA 92116-2526,Improved Property,SAN DIEGO,92116,08001," $ 61,189.00 "," $ 58,886.00 "," $ 120,075.00 ",2025,LOT 173,,   - ," $ 78,900.00 ",   - , - ,03/16/2026 08:15:00,
0316,4706801900,4211 SUMMIT DR LA MESA CA 91941-7841,Improved Property,LA MESA,91941,05003," $ 434,469.00 "," $ 318,755.00 "," $ 753,224.00 ",2025,LOT 20 BLK C,,   - ," $ 377,000.00 ",   - , - ,03/16/2026 08:15:00,REDEEMED
0317,4710521600,4250 EL CAJON BLVD SAN DIEGO CA 92105-1230,Improved Property,SAN DIEGO,92105,08241," $ 384,346.00 "," $ 313,882.00 "," $ 698,228.00 ",2025,LOTS 25 & 26 BLK 3,,   - ," $ 350,000.00 ",   - , - ,03/16/2026 08:15:00,REDEEMED
0318,4760211102,3519 VAN DYKE AVE #02 SAN DIEGO CA 92105-3470,Improved Property,SAN DIEGO,92105,08241," $ 43,443.00 "," $ 50,685.00 "," $ 94,128.00 ",2025,US 2 PER DOC80-165619&UND INT IN LOTS 19&20 IN BLK 100,,   - ," $ 8,000.00 ",   - , - ,03/16/2026 08:15:00,
0332,4906313100,8332 CASE ST LA MESA CA 91942-2919,Improved Property,LA MESA,91942,05011," $ 1,251,610.00 "," $ 819,234.00 "," $ 2,070,844.00 ",2025,2.09 AC M/L IN LOTS 12&13 PER MP 4769&IN LOT 16,,   - ," $ 128,000.00 ",   - , - ,03/16/2026 08:15:00,WITHDRAWN
0334,5012430929,9966 DOLORES ST #209 SPRING VALLEY CA 91977-1525,Improved Property,SPRING VALLEY,91977,83338," $ 33,464.00 "," $ 40,156.00 "," $ 73,620.00 ",2025,US209PER DOC82-269789&UND INT IN LOT 278,,   - ," $ 37,000.00 ",   - , - ,03/16/2026 08:15:00,
0338,5051650700,3322 YBARRA RD SPRING VALLEY CA 91978-1114,Improved Property,SPRING VALLEY,91978,83171," $ 24,920.00 "," $ 28,852.00 "," $ 53,772.00 ",2025,LOT 40,,   - ," $ 27,000.00 ",   - , - ,03/16/2026 08:15:00,REDEEMED
0340,5130730700,5602 TRAFALGAR RD EL CAJON CA 92019-1638,Improved Property,EL CAJON,92019,67007," $ 213,261.00 "," $ 243,286.00 "," $ 456,547.00 ",2025,DOC131927REC72 IN N H SEC 12-16-1E,,   - ," $ 399,000.00 ",   - , - ,03/16/2026 08:30:00,
0342,5171215700,1702 LAYNE PL EL CAJON CA 92019-4265,Improved Property,EL CAJON,92019,59364," $ 211,965.00 "," $ 580,127.00 "," $ 792,092.00 ",2025,LOT 24,,   - ," $ 91,000.00 ",   - , - ,03/16/2026 08:30:00,
0346,5231600200,22453-22465 JAPATUL VALLEY RD ALPINE CA 91901-3465,Improved Property,ALPINE,91901,51062," $ 620,662.00 "," $ 296,098.00 "," $ 916,760.00 ",2025,POR SEC 15-16-3E,,   - ," $ 459,000.00 ",   - , - ,03/16/2026 08:30:00,REDEEMED
0350,5333332134,425 W BEECH ST #534 SAN DIEGO CA 92101-2959,Improved Property,SAN DIEGO,92101,08242," $ 234,257.00 "," $ 158,401.00 "," $ 392,658.00 ",2025,US 534PER DOC04-0514144&UND INT IN COMMON AREA IN PAR 1,,   - ," $ 197,000.00 ",   - , - ,03/16/2026 08:30:00,
0353,5335310380,888 W E ST #1506 SAN DIEGO CA 92101-6007,Improved Property,SAN DIEGO,92101,08169," $ 781,955.00 "," $ 531,400.00 "," $ 1,313,355.00 ",2025,US1506 PER DOC17-0540430&18-0078183&UND INT IN PAR 1,,   - ," $ 657,000.00 ",   - , - ,03/16/2026 08:30:00,WITHDRAWN
0355,5342101801,1465 C ST #3101 SAN DIEGO CA 92101-5739,Improved Property,SAN DIEGO,92101,08242," $ 91,119.00 "," $ 173,625.00 "," $ 264,744.00 ",2025,US 3101PER DOCS03-1436632&04-730815&04-864363&UND INT IN PAR 1,,   - ," $ 133,000.00 ",   - , - ,03/16/2026 08:30:00,REDEEMED
0356,5350420950,550 FRONT ST #902 SAN DIEGO CA 92101-7093,Improved Property,SAN DIEGO,92101,08170," $ 135,449.00 "," $ 368,190.00 "," $ 503,639.00 ",2025,US 902PER DOC05-834537&UND INT IN POR LOT 1,,   - ," $ 469,000.00 ",   - , - ,03/16/2026 08:30:00,
0357,5354922500,2558 IMPERIAL AVE SAN DIEGO CA 92102-3919,Improved Property,SAN DIEGO,92102,08001," $ 683,285.00 "," $ 273,305.00 "," $ 956,590.00 ",2025,LOTS 41 & 42 BLK 18,,   - ," $ 479,000.00 ",   - , - ,03/16/2026 08:30:00,
0358,5376901573,1770 AVENIDA DEL MUNDO #803 CORONADO CA 92118-4004,Improved Property,CORONADO,92118,02002," $ 115,496.00 "," $ 102,244.00 "," $ 217,740.00 ",2025,US 803&UND INT PER DOC73-022706 IN LOT 6,,   - ," $ 109,000.00 ",   - , - ,03/16/2026 08:30:00,REDEEMED
0361,5440401400,6855 RADIO DR SAN DIEGO CA 92114-1611,Improved Property,SAN DIEGO,92114,08001," $ 191,495.00 "," $ 133,464.00 "," $ 324,959.00 ",2025,/EXC ST OP/ N 1/2 OF LOT 116,,   - ," $ 163,000.00 ",   - , - ,03/16/2026 08:30:00,
0368,5523730500,1804 GAMMA ST NATIONAL CITY CA 91950-1829,Improved Property,NATIONAL CITY,91950,06000," $ 254,875.00 "," $ 106,200.00 "," $ 361,075.00 ",2025,LOT 249 & W 5 FT LOT 250,,   - ," $ 181,000.00 ",   - , - ,03/16/2026 08:30:00,
0369,5524320500,4825 MAGNUS WAY SAN DIEGO CA 92113-3515,Improved Property,SAN DIEGO,92113,08116," $ 17,631.00 "," $ 117,507.00 "," $ 135,138.00 ",2025,LOT 21,,   - ," $ 68,000.00 ",   - , - ,03/16/2026 08:30:00,
0371,5542011300,2241 MELROSE ST NATIONAL CITY CA 91950-2058,Improved Property,NATIONAL CITY,91950,06000," $ 177,566.00 "," $ 106,539.00 "," $ 284,105.00 ",2025,LOT 219,,   - ," $ 143,000.00 ",   - , - ,03/16/2026 08:30:00,
0372,5561805516,312 J AVE #44 NATIONAL CITY CA 91950-1564,Improved Property,NATIONAL CITY,91950,06045," $ 52,917.00 "," $ 24,520.00 "," $ 77,437.00 ",2025,US 44PER DOC05-579049&UND INT IN LOT 1,,   - ," $ 39,000.00 ",   - , - ,03/16/2026 08:30:00,
0373,5563511000,422 E 6TH ST NATIONAL CITY CA 91950-2318,Improved Property,NATIONAL CITY,91950,06045," $ 152,062.00 "," $ 79,650.00 "," $ 231,712.00 ",2025,N 50 FT OF LOTS 23&24 BLK 1,,   - ," $ 116,000.00 ",   - , - ,03/16/2026 08:30:00,REDEEMED
0376,5601202300,518 E 15TH ST NATIONAL CITY CA 91950-4607,Improved Property,NATIONAL CITY,91950,06036," $ 130,634.00 "," $ 109,881.00 "," $ 240,515.00 ",2025,STS CLSD ADJ&LOTS 1&2 BLK 2 IN W H OF 10 AC LOT 9 QSEC 154,,   - ," $ 121,000.00 ",   - , - ,03/16/2026 08:30:00,WITHDRAWN
0388,5791524500,9669 ST GEORGE ST SPRING VALLEY CA 91977-5247,Improved Property,SPRING VALLEY,91977,83095," $ 56,279.00 "," $ 60,027.00 "," $ 116,306.00 ",2025,LOT 92 BLK 15,,   - ," $ 59,000.00 ",   - , - ,03/16/2026 08:30:00,
0391,5810330700,569 FLICKER ST SAN DIEGO CA 92114-4426,Improved Property,SAN DIEGO,92114,08001," $ 137,913.00 "," $ 144,478.00 "," $ 282,391.00 ",2025,LISBON TOWNSITE LOT 7 BLK 2,,   - ," $ 142,000.00 ",   - , - ,03/16/2026 08:30:00,
0392,5815440100,361 REDCREST DR SAN DIEGO CA 92114-4923,Improved Property,SAN DIEGO,92114,08001," $ 382,774.00 "," $ 76,553.00 "," $ 459,327.00 ",2025,LOT 1349,,   - ," $ 230,000.00 ",   - , - ,03/16/2026 08:30:00,
0394,5834740400,8829 CRESTMORE AVE SPRING VALLEY CA 91977-4739,Improved Property,SPRING VALLEY,91977,83040," $ 56,598.00 "," $ 71,316.00 "," $ 127,914.00 ",2025,LOT 287,,   - ," $ 64,000.00 ",   - , - ,03/16/2026 08:30:00,REDEEMED
0395,5838102700,8586 ENCINITAS WAY SAN DIEGO CA 92114-7423,Improved Property,SAN DIEGO,92114,08056," $ 23,763.00 "," $ 69,735.00 "," $ 93,498.00 ",2025,LOT 27,,   - ," $ 47,000.00 ",   - , - ,03/16/2026 08:30:00,
0400,5952210954,721 EASTSHORE TER #54 CHULA VISTA CA 91913-2434,Improved Property,CHULA VISTA,91913,01139," $ 88,629.00 "," $ 91,585.00 "," $ 180,214.00 ",2025,US 54PER DOC86-235131&UND INT IN LOT 9,,   - ," $ 91,000.00 ",   - , - ,03/16/2026 08:30:00,REDEEMED
0401,5953216121,1010 BAYWOOD CIR #D CHULA VISTA CA 91915-1138,Improved Property,CHULA VISTA,91915,01220," $ 71,832.00 "," $ 167,645.00 "," $ 239,477.00 ",2025,US 21PER DOC94-674735&UND INT IN POR LOT 2,,   - ," $ 120,000.00 ",   - , - ,03/16/2026 08:30:00,
0402,5961113600,14160 MYRTLE ST JAMUL CA 91935-1815,Improved Property,JAMUL,91935,79013," $ 334,654.00 "," $ 35,694.00 "," $ 370,348.00 ",2025,DOC73-168619 IN LOTS 9&10 BLK 3,,   - ," $ 186,000.00 ",   - , - ,03/16/2026 08:30:00,REDEEMED
0438,6261422703,570 EMORY ST #B IMPERIAL BEACH CA 91932-1556,Improved Property,IMPERIAL BEACH,91932,14016," $ 341,347.00 "," $ 261,699.00 "," $ 603,046.00 ",2025,US 3 PER DOC03-1038168&UND INT IN PAR 1,,   - ," $ 302,000.00 ",   - , - ,03/16/2026 08:30:00,
0439,6292310700,3661 LINDBERGH ST SAN DIEGO CA 92154-1652,Improved Property,SAN DIEGO,92154,08048," $ 356,964.00 "," $ 133,860.00 "," $ 490,824.00 ",2025,LOT 267,,   - ," $ 246,000.00 ",   - , - ,03/16/2026 08:45:00,REDEEMED
0440,6340318100,1210 CAMINITO CEDRO SAN DIEGO CA 92154-3244,Improved Property,SAN DIEGO,92154,08035," $ 127,261.00 "," $ 268,742.00 "," $ 396,003.00 ",2025,LOT A-17,,   - ," $ 199,000.00 ",   - , - ,03/16/2026 08:45:00,
0450,6461504406,8580 AVENIDA DE LA FUENTE SAN DIEGO CA 92154-6284,Improved Property,SAN DIEGO,92154,08215," $ 382,774.00 "," $ 546,820.00 "," $ 929,594.00 ",2025,US 6 PER DOC04-0434961&UND INT IN LOT 24,,   - ," $ 465,000.00 ",   - , - ,03/16/2026 08:45:00,
0456,6660301500,141 W SAN YSIDRO BLVD SAN YSIDRO CA 92173-2555,Improved Property,SAN YSIDRO,92173,08249," $ 188,353.00 "," $ 287,076.00 "," $ 475,429.00 ",2025,E 1/2 LOT 109,,   - ," $ 238,000.00 ",   - , - ,03/16/2026 08:45:00,
0466,6745301551,6924 HYDE PARK DR #319 SAN DIEGO CA 92119-2263,Improved Property,SAN DIEGO,92119,08015," $ 213,261.00 "," $ 71,078.00 "," $ 284,339.00 ",2025,US6924-319PER DOC78-527467&UND INT IN LOT 1,,   - ," $ 143,000.00 ",   - , - ,03/16/2026 08:45:00,
0468,6761502749,4064 HUERFANO AVE #249 SAN DIEGO CA 92117-5210,Improved Property,SAN DIEGO,92117,08001," $ 189,404.00 "," $ 165,728.00 "," $ 355,132.00 ",2025,US249PER DOC78-427415 & UND INT IN LOT 1,,   - ," $ 178,000.00 ",   - , - ,03/16/2026 08:45:00,WITHDRAWN
0005,1093521100,RAINBOW CREST RD FALLBROOK CA 92028,Unimproved property,FALLBROOK,92028,93008," $ 49,871.00 ",   - ," $ 49,871.00 ",2025,7.71 AC M/L IN PAR 2 PER PM 5899 IN SEQ OF SEQ SEC 17-9-2W,,   - ," $ 81,100.00 ",   - , - ,03/17/2026 08:00:00,
0035,1141300800,HIGHWAY 79 WARNER SPRINGS CA 92086,Unimproved property,WARNER SPRINGS,92086,98000," $ 19,229.00 ",   - ," $ 19,229.00 ",2025,LOT 8,,   - ," $ 3,200.00 ",   - , - ,03/17/2026 08:00:00,REDEEMED
0043,1262306900,S MISSION RD,Unimproved property,BONSALL,92003,57101," $ 83,661.00 ",   - ," $ 83,661.00 ",2025,DOC18-0474425 IN W H OF SWQ SEC 20-10-3W,,   - ," $ 11,400.00 ",   - , - ,03/17/2026 08:00:00,
0051,1353300500,VALLEY CENTER CA,Unimproved property,VALLEY CENTER,92082,94141," $ 2,278.00 ",   - ," $ 2,278.00 ",2025,DOC75-356192 IN TCT 92 SEC 22-10-1E,,   - ," $ 1,400.00 ",   - , - ,03/17/2026 08:00:00,REDEEMED
0055,1413503900,2083 TREBUCHET DR BORREGO SPRINGS CA 92004-4222,Unimproved property,BORREGO SPRINGS,92004,58020," $ 16,000.00 ",   - ," $ 16,000.00 ",2025,LOT 161,,   - ," $ 2,100.00 ",   - , - ,03/17/2026 08:00:00,
0057,1440301800,OCEANSIDE CA,Unimproved property,OCEANSIDE,92058,07000, $ 199.00 ,   - , $ 199.00 ,2025,LOT 1 SEC 15-11-5W,,   - ," $ 1,200.00 ",   - , - ,03/17/2026 08:00:00,
0088,1882232100,MACTAN RD VALLEY CENTER CA 92082,Unimproved property,VALLEY CENTER,92082,94075," $ 83,270.00 ",   - ," $ 83,270.00 ",2025,PAR 1,,   - ," $ 11,500.00 ",   - , - ,03/17/2026 08:00:00,
0089,1882232200,MACTAN RD VALLEY CENTER CA 92082,Unimproved property,VALLEY CENTER,92082,94075," $ 83,270.00 ",   - ," $ 83,270.00 ",2025,PAR 2,,   - ," $ 11,500.00 ",   - , - ,03/17/2026 08:00:00,
0090,1882232300,29348 MACTAN RD VALLEY CENTER CA 92082-7611,Unimproved property,VALLEY CENTER,92082,94075," $ 83,270.00 ",   - ," $ 83,270.00 ",2025,PAR 3,,   - ," $ 14,400.00 ",   - , - ,03/17/2026 08:00:00,
0091,1882232400,MACTAN RD VALLEY CENTER CA 92082,Unimproved property,VALLEY CENTER,92082,94075," $ 83,270.00 ",   - ," $ 83,270.00 ",2025,PAR 4,,   - ," $ 11,400.00 ",   - , - ,03/17/2026 08:00:00,
